Year,State,District,Agro-Climatic Zone,Crop,Season,Area (ha),Rainfall (mm),Irrigation (%),Soil Type,Fertilizer Use (kg/ha),Production (tonnes),crop_yield
2014,Punjab,District_5,Western Plateau,Cotton,Rabi,103353,885.63,34.5,Clay,120.81,279037,2.7
2003,Bihar,District_18,Lower Gangetic Plains,Wheat,Kharif,5822,1141.36,49.64,Alluvial,85.42,25895,4.45
2008,Tamil Nadu,District_72,Western Dry Region,Rice,Zaid,45160,502.74,51.23,Clay,116.22,202551,4.49
2006,Uttar Pradesh,District_13,Western Plateau,Rice,Rabi,117325,1030.34,28.73,Laterite,146.44,421240,3.59
2018,West Bengal,District_74,Western Dry Region,Sugarcane,Rabi,22770,1828.28,96.33,Sandy,111.58,95023,4.17
2018,Gujarat,District_36,Cauvery Delta Zone,Sugarcane,Zaid,37338,559.81,69.37,Red,211.15,161356,4.32
2005,Rajasthan,District_19,Trans-Gangetic Plains,Maize,Zaid,20616,1253.88,79.83,Black,134.61,77820,3.77
2005,Punjab,District_31,Western Plateau,Maize,Kharif,69428,1627.56,73.2,Black,287.73,107409,1.55
2019,West Bengal,District_100,Cauvery Delta Zone,Wheat,Rabi,138730,1693.4,55.74,Clay,184.37,530671,3.83
2014,Uttar Pradesh,District_93,Cauvery Delta Zone,Rice,Zaid,121300,594.26,95.87,Sandy,107.8,453716,3.74
2014,Gujarat,District_23,Upper Gangetic Plains,Wheat,Kharif,127547,1557.68,46.89,Sandy,219.46,569304,4.46
2019,Rajasthan,District_32,Northern Hill Zone,Cotton,Zaid,127272,1595.4,95.58,Alluvial,155.39,360048,2.83
2008,Gujarat,District_11,Northern Hill Zone,Cotton,Rabi,138704,1229.48,70.12,Clay,51.62,574654,4.14
2003,Karnataka,District_66,Central Plateau and Hills,Maize,Rabi,11857,1019.67,55.33,Sandy,175.57,34363,2.9
2017,Uttar Pradesh,District_96,Eastern Plateau and Hills,Wheat,Kharif,28028,404.71,74.15,Sandy,144.4,95382,3.4
2017,Uttar Pradesh,District_5,Eastern Plateau and Hills,Cotton,Kharif,25622,314.31,86.52,Clay,180.24,96463,3.76
2004,Rajasthan,District_95,Central Plateau and Hills,Maize,Zaid,55020,1290.68,94.1,Clay,140.56,146202,2.66
2019,West Bengal,District_13,Central Plateau and Hills,Wheat,Rabi,140997,914.13,69.21,Alluvial,82.59,536918,3.81
2010,West Bengal,District_86,Western Plateau,Rice,Rabi,22748,776.51,74.26,Clay,220.89,44179,1.94
2004,Maharashtra,District_64,Eastern Plateau and Hills,Cotton,Rabi,53928,494.29,96.25,Clay,160.51,105170,1.95
2003,West Bengal,District_35,Central Plateau and Hills,Cotton,Kharif,25798,1885.76,61.14,Alluvial,70.14,49333,1.91
2011,West Bengal,District_83,Central Plateau and Hills,Rice,Kharif,105885,610.29,90.15,Clay,292.01,337093,3.18
2001,Karnataka,District_29,Central Plateau and Hills,Maize,Rabi,146722,1424.79,63.1,Clay,225.67,604662,4.12
2012,Gujarat,District_23,Western Plateau,Cotton,Rabi,52860,366.06,86.83,Clay,94.12,154337,2.92
2009,Karnataka,District_83,East Coast Plains & Hills,Rice,Zaid,25492,1418.12,66.96,Red,254.59,92293,3.62
2008,West Bengal,District_80,Eastern Plateau and Hills,Maize,Kharif,130766,1410.78,38.91,Clay,128.59,523229,4
2009,Tamil Nadu,District_95,East Coast Plains & Hills,Sugarcane,Zaid,73525,1840.43,35.44,Black,197.11,129656,1.76
2006,Karnataka,District_16,Trans-Gangetic Plains,Maize,Kharif,92406,1306.95,45.41,Clay,84.58,246578,2.67
2003,Andhra Pradesh,District_26,Western Plateau,Cotton,Zaid,138028,343.08,41.53,Red,105.23,227303,1.65
2018,Tamil Nadu,District_3,Lower Gangetic Plains,Maize,Zaid,140701,1929.68,52.23,Black,280.88,569595,4.05
2009,Punjab,District_23,Lower Gangetic Plains,Cotton,Zaid,54410,467.42,75.73,Clay,284.3,172501,3.17
2002,Bihar,District_57,Lower Gangetic Plains,Maize,Rabi,127292,707.29,88.98,Red,213.96,477734,3.75
2020,Maharashtra,District_9,Western Plateau,Sugarcane,Zaid,53919,1563.78,32.86,Clay,76.63,239001,4.43
2018,Punjab,District_51,Lower Gangetic Plains,Maize,Kharif,106592,1494,65.4,Laterite,272.1,246335,2.31
2020,Bihar,District_88,Cauvery Delta Zone,Sugarcane,Zaid,98265,1526.94,72.94,Black,143.29,410136,4.17
2001,Karnataka,District_33,Western Dry Region,Cotton,Rabi,66359,1013.3,63.22,Sandy,193.84,112472,1.69
2019,Andhra Pradesh,District_78,Eastern Plateau and Hills,Maize,Rabi,52899,948.61,25.31,Alluvial,200.87,91010,1.72
2009,Bihar,District_92,Eastern Plateau and Hills,Rice,Rabi,24110,1300.66,71.18,Clay,95.57,57881,2.4
2001,Bihar,District_24,Eastern Plateau and Hills,Sugarcane,Rabi,18641,763.3,46.09,Red,116.57,53900,2.89
2001,Punjab,District_50,Cauvery Delta Zone,Wheat,Zaid,132073,636.14,38.97,Sandy,185.32,369886,2.8
2016,West Bengal,District_52,Western Dry Region,Sugarcane,Zaid,13958,570.33,55.56,Red,57.16,57882,4.15
2015,Maharashtra,District_71,Western Plateau,Maize,Kharif,29409,954.81,77.11,Black,120.82,105854,3.6
2015,Gujarat,District_38,Trans-Gangetic Plains,Sugarcane,Kharif,114923,1825.32,63.85,Black,123.57,279627,2.43
2013,Andhra Pradesh,District_44,Central Plateau and Hills,Maize,Zaid,75103,1871.96,40.23,Clay,162.52,274844,3.66
2006,Bihar,District_89,Western Dry Region,Cotton,Kharif,120347,1817.16,33.17,Alluvial,292.4,355023,2.95
2020,West Bengal,District_56,Eastern Plateau and Hills,Cotton,Kharif,42795,646.99,47.87,Sandy,267.3,83002,1.94
2010,Gujarat,District_66,Cauvery Delta Zone,Rice,Kharif,83572,1309.61,22.72,Red,99.06,305055,3.65
2000,Andhra Pradesh,District_45,Northern Hill Zone,Wheat,Kharif,131983,1406.21,90.51,Red,225.7,537272,4.07
2010,West Bengal,District_52,East Coast Plains & Hills,Cotton,Rabi,51773,1084.53,43.33,Black,122.21,157823,3.05
2020,West Bengal,District_1,Western Dry Region,Rice,Kharif,79501,1269.84,90.93,Laterite,273.2,145514,1.83
2003,Rajasthan,District_87,Western Plateau,Wheat,Zaid,6503,512.89,77.57,Sandy,133.89,24843,3.82
2006,Uttar Pradesh,District_82,Western Plateau,Rice,Zaid,69327,1828.32,95.45,Sandy,250.13,163631,2.36
2014,West Bengal,District_64,Western Plateau,Cotton,Kharif,56777,529.15,66.25,Sandy,204.28,94605,1.67
2017,Gujarat,District_8,Western Plateau,Wheat,Rabi,133194,1718.98,81.15,Red,246.56,323012,2.43
2011,Maharashtra,District_98,Cauvery Delta Zone,Cotton,Rabi,75729,388.6,33.83,Laterite,154.82,116386,1.54
2016,Uttar Pradesh,District_43,Northern Hill Zone,Maize,Rabi,96053,983.39,73.53,Clay,80.79,237012,2.47
2000,Andhra Pradesh,District_8,Northern Hill Zone,Wheat,Kharif,44920,631.48,63.26,Laterite,208.34,72143,1.61
2010,Tamil Nadu,District_29,Eastern Plateau and Hills,Rice,Zaid,29992,570.41,57.95,Sandy,97.56,82749,2.76
2000,Karnataka,District_13,Lower Gangetic Plains,Maize,Kharif,70493,1445.94,38.27,Sandy,228.22,274940,3.9
2014,Andhra Pradesh,District_1,Western Plateau,Rice,Zaid,37323,1810.04,75.06,Alluvial,177.94,57431,1.54
2020,West Bengal,District_29,Trans-Gangetic Plains,Cotton,Zaid,117658,1643.4,61.41,Laterite,55.45,493377,4.19
2009,Gujarat,District_50,Northern Hill Zone,Cotton,Rabi,49674,794.63,89,Red,95.69,142306,2.86
2006,Bihar,District_37,Eastern Plateau and Hills,Maize,Kharif,89070,1332.7,27.42,Red,182.43,208499,2.34
2001,Punjab,District_1,Northern Hill Zone,Maize,Zaid,70373,800.83,25.38,Black,91.77,209318,2.97
2009,Karnataka,District_69,Lower Gangetic Plains,Wheat,Zaid,107217,454.03,28.16,Red,53.38,478216,4.46
2003,Andhra Pradesh,District_48,Western Plateau,Rice,Zaid,102992,498.2,45.39,Sandy,248.87,328234,3.19
2011,Rajasthan,District_55,Eastern Plateau and Hills,Sugarcane,Zaid,112639,594.49,84.68,Sandy,186.91,370441,3.29
2018,Punjab,District_66,Upper Gangetic Plains,Cotton,Zaid,75418,1423.37,64.92,Red,238.57,125809,1.67
2010,Karnataka,District_63,East Coast Plains & Hills,Sugarcane,Rabi,116077,527.85,68.61,Laterite,223.12,495390,4.27
2007,Maharashtra,District_22,Western Plateau,Sugarcane,Rabi,127862,1278.79,64.17,Sandy,130.75,288272,2.25
2017,Bihar,District_94,Western Plateau,Maize,Zaid,29379,302.16,67.25,Laterite,70.01,128743,4.38
2010,Rajasthan,District_11,Northern Hill Zone,Rice,Kharif,15910,1543.68,21.12,Red,123.75,29900,1.88
2010,Karnataka,District_29,Upper Gangetic Plains,Sugarcane,Zaid,130826,739.09,76.41,Alluvial,215.42,220035,1.68
2012,West Bengal,District_3,Western Dry Region,Rice,Kharif,101716,1267.45,83.21,Clay,298.99,316548,3.11
2002,Karnataka,District_45,Upper Gangetic Plains,Maize,Zaid,57177,889.77,97.78,Sandy,266.31,106419,1.86
2011,Gujarat,District_77,Trans-Gangetic Plains,Sugarcane,Rabi,68058,1208.02,74.04,Alluvial,81.83,285175,4.19
2002,Gujarat,District_3,Western Dry Region,Sugarcane,Rabi,53947,629.64,62.24,Laterite,227.08,189067,3.5
2009,Gujarat,District_74,East Coast Plains & Hills,Cotton,Kharif,142632,1352.45,62.21,Clay,86.76,509978,3.58
2016,Andhra Pradesh,District_68,Western Dry Region,Sugarcane,Zaid,43323,1799.62,46.13,Clay,94.81,128788,2.97
2001,Bihar,District_14,Central Plateau and Hills,Wheat,Zaid,138491,1283.79,57.84,Clay,256.84,421375,3.04
2016,Bihar,District_87,East Coast Plains & Hills,Maize,Rabi,42795,1051.67,23.29,Alluvial,270.99,186071,4.35
2015,Andhra Pradesh,District_81,Northern Hill Zone,Wheat,Kharif,142763,1105.14,97.5,Laterite,164.94,546058,3.82
2001,Bihar,District_65,Western Plateau,Sugarcane,Zaid,109746,987.62,27.36,Black,255.63,463948,4.23
2019,Gujarat,District_57,Trans-Gangetic Plains,Sugarcane,Kharif,5664,700.4,33.06,Laterite,62.53,20419,3.61
2005,Gujarat,District_15,Western Dry Region,Wheat,Rabi,105252,945.9,60.9,Black,296.56,396251,3.76
2009,Tamil Nadu,District_60,Northern Hill Zone,Cotton,Zaid,23071,1016.78,54.4,Red,167.57,43578,1.89
2009,Karnataka,District_54,East Coast Plains & Hills,Cotton,Zaid,137371,1471.04,89.84,Alluvial,218.49,585187,4.26
2007,Bihar,District_2,Cauvery Delta Zone,Wheat,Kharif,91483,841.3,44.44,Black,222.58,222388,2.43
2000,Uttar Pradesh,District_82,Upper Gangetic Plains,Wheat,Rabi,114655,940.4,77.54,Red,268.08,400944,3.5
2012,Gujarat,District_64,Trans-Gangetic Plains,Maize,Rabi,117873,1359.09,53.86,Clay,238.6,347409,2.95
2008,Karnataka,District_86,Upper Gangetic Plains,Cotton,Kharif,129344,1642.35,50.56,Red,58.16,250902,1.94
2009,Punjab,District_28,Cauvery Delta Zone,Rice,Rabi,56479,1731.06,36.82,Black,281.41,109910,1.95
2014,Rajasthan,District_94,Central Plateau and Hills,Sugarcane,Rabi,38750,1316.77,85.09,Clay,110.64,120096,3.1
2004,Uttar Pradesh,District_77,Upper Gangetic Plains,Sugarcane,Kharif,42113,1078.74,35.78,Black,88.51,154954,3.68
2015,Uttar Pradesh,District_67,Central Plateau and Hills,Wheat,Kharif,68688,1424.01,20.79,Black,228.7,272738,3.97
2012,Rajasthan,District_3,Western Dry Region,Rice,Zaid,66535,352.5,86.43,Laterite,79.99,276136,4.15
2019,Andhra Pradesh,District_53,Eastern Plateau and Hills,Cotton,Rabi,22666,1253.37,36.92,Sandy,139.54,42411,1.87
2017,Bihar,District_26,Eastern Plateau and Hills,Cotton,Rabi,125421,823.34,32.05,Laterite,299.39,395826,3.16
2010,Uttar Pradesh,District_4,Trans-Gangetic Plains,Cotton,Zaid,149076,1182.3,35.9,Laterite,157.88,260888,1.75
2008,Punjab,District_16,Lower Gangetic Plains,Wheat,Kharif,96621,793.2,95.05,Clay,127.4,184160,1.91
2015,Karnataka,District_92,Central Plateau and Hills,Wheat,Rabi,146320,607.88,73.74,Black,89.81,386727,2.64
2001,Andhra Pradesh,District_72,Trans-Gangetic Plains,Sugarcane,Kharif,64916,712.64,75.24,Alluvial,299.24,148168,2.28
2001,West Bengal,District_54,Trans-Gangetic Plains,Sugarcane,Rabi,132716,1563.42,32.2,Laterite,195.14,497692,3.75
2011,West Bengal,District_16,Cauvery Delta Zone,Cotton,Kharif,28572,937.98,69.14,Laterite,121.13,58389,2.04
2007,Rajasthan,District_31,Northern Hill Zone,Sugarcane,Zaid,7378,1532.31,88.93,Laterite,74.14,27580,3.74
2008,Karnataka,District_87,East Coast Plains & Hills,Sugarcane,Rabi,104660,1577.65,74.41,Alluvial,267.87,400185,3.82
2011,Karnataka,District_2,Upper Gangetic Plains,Cotton,Zaid,59006,333.41,26.15,Red,55.45,109588,1.86
2008,West Bengal,District_73,Northern Hill Zone,Wheat,Kharif,81084,1896.83,54.65,Red,219.89,167105,2.06
2009,Uttar Pradesh,District_91,Central Plateau and Hills,Sugarcane,Rabi,71628,470.16,76.92,Laterite,176.5,198083,2.77
2001,Bihar,District_45,East Coast Plains & Hills,Wheat,Zaid,149003,1101.6,27.43,Sandy,240.27,346193,2.32
2015,Rajasthan,District_54,Cauvery Delta Zone,Rice,Kharif,38215,1915.62,48.78,Laterite,106.82,126525,3.31
2019,West Bengal,District_59,Western Plateau,Wheat,Zaid,49275,569.03,77.05,Sandy,147.59,221565,4.5
2006,Karnataka,District_59,Upper Gangetic Plains,Maize,Kharif,90057,626.65,86.99,Sandy,142.78,268938,2.99
2001,Andhra Pradesh,District_22,Western Plateau,Maize,Zaid,78274,697.96,71.03,Alluvial,70.63,309579,3.96
2000,Punjab,District_34,Trans-Gangetic Plains,Cotton,Kharif,138443,1711.46,87.04,Clay,212.09,396411,2.86
2018,Andhra Pradesh,District_73,Lower Gangetic Plains,Maize,Kharif,116822,1730.09,72.35,Red,247.12,411712,3.52
2003,Andhra Pradesh,District_97,Northern Hill Zone,Rice,Rabi,73002,1830.98,94.57,Clay,187.81,129209,1.77
2001,Bihar,District_56,Eastern Plateau and Hills,Wheat,Zaid,107453,1158.89,21.09,Sandy,108.05,387102,3.6
2013,Rajasthan,District_34,Upper Gangetic Plains,Wheat,Rabi,72420,1833.74,47.96,Alluvial,73.24,191947,2.65
2001,West Bengal,District_99,Lower Gangetic Plains,Sugarcane,Zaid,58589,757.67,25.16,Black,296.93,157602,2.69
2014,Gujarat,District_26,Western Plateau,Sugarcane,Rabi,62022,1337.34,50.36,Alluvial,245.04,108311,1.75
2011,Karnataka,District_71,Western Dry Region,Sugarcane,Zaid,92958,1028.15,39.78,Laterite,131.65,296641,3.19
2004,Andhra Pradesh,District_45,Western Dry Region,Wheat,Kharif,5946,789.34,39.67,Black,264.67,24107,4.05
2019,Andhra Pradesh,District_91,Cauvery Delta Zone,Wheat,Rabi,38815,1596.33,43.07,Clay,165.79,60626,1.56
2006,Rajasthan,District_76,Trans-Gangetic Plains,Sugarcane,Zaid,56485,1550.41,43.14,Alluvial,283.74,143709,2.54
2020,Maharashtra,District_81,Upper Gangetic Plains,Wheat,Zaid,147674,1573.24,66.5,Black,279.7,305749,2.07
2009,Karnataka,District_21,Northern Hill Zone,Rice,Rabi,75594,1317.32,71.94,Alluvial,224.33,134119,1.77
2013,Punjab,District_43,Central Plateau and Hills,Sugarcane,Kharif,70291,873.05,40.72,Alluvial,105.24,313622,4.46
2013,Gujarat,District_86,Eastern Plateau and Hills,Maize,Zaid,122508,1442.15,31.36,Sandy,297.14,483629,3.95
2004,West Bengal,District_90,Eastern Plateau and Hills,Sugarcane,Zaid,75318,641.95,53.34,Sandy,210.16,166722,2.21
2017,Tamil Nadu,District_39,Western Dry Region,Maize,Kharif,103284,722.47,43.78,Laterite,249.45,235227,2.28
2013,Tamil Nadu,District_13,Lower Gangetic Plains,Cotton,Kharif,97750,1927.67,93.54,Laterite,181.78,380948,3.9
2001,Karnataka,District_42,Central Plateau and Hills,Maize,Rabi,93121,1224.84,83.85,Laterite,275.9,254394,2.73
2011,West Bengal,District_45,Upper Gangetic Plains,Rice,Kharif,127072,1517.34,90.8,Clay,81.7,536457,4.22
2005,Maharashtra,District_87,Lower Gangetic Plains,Wheat,Rabi,139993,1074.28,28.28,Red,202.4,470309,3.36
2003,Punjab,District_51,Upper Gangetic Plains,Rice,Kharif,111846,302.88,50.63,Laterite,161.7,225158,2.01
2012,Gujarat,District_94,Central Plateau and Hills,Cotton,Zaid,130577,1167.9,87.9,Laterite,271.51,221325,1.69
2003,Maharashtra,District_17,Cauvery Delta Zone,Rice,Kharif,139403,1217.22,34.02,Sandy,208.11,435223,3.12
2013,Gujarat,District_91,Lower Gangetic Plains,Rice,Kharif,6990,464.87,82.43,Black,238.59,13723,1.96
2015,Tamil Nadu,District_84,Cauvery Delta Zone,Cotton,Kharif,8574,660.03,89.88,Alluvial,193.11,31480,3.67
2003,Uttar Pradesh,District_63,Cauvery Delta Zone,Rice,Kharif,46565,513.04,41.91,Alluvial,114.33,179170,3.85
2000,Tamil Nadu,District_7,Cauvery Delta Zone,Cotton,Kharif,100810,1800.06,97.37,Alluvial,129.42,199950,1.98
2012,Uttar Pradesh,District_55,Cauvery Delta Zone,Wheat,Rabi,9983,351.32,86.92,Black,157.17,21050,2.11
2003,West Bengal,District_4,East Coast Plains & Hills,Sugarcane,Rabi,35143,1591.64,33.46,Clay,281.69,86523,2.46
2019,Karnataka,District_31,Eastern Plateau and Hills,Wheat,Rabi,54074,1032.87,65.92,Red,58.79,180995,3.35
2017,Tamil Nadu,District_94,Western Plateau,Wheat,Zaid,46247,304.39,38.39,Clay,100.82,121839,2.63
2005,Rajasthan,District_95,Central Plateau and Hills,Wheat,Rabi,98167,1063.4,56.96,Sandy,207.35,418431,4.26
2002,Maharashtra,District_56,Trans-Gangetic Plains,Rice,Zaid,120069,1961.85,60.8,Clay,91.78,199373,1.66
2012,Rajasthan,District_4,Western Dry Region,Wheat,Zaid,59584,1064.9,73.68,Clay,73.27,225475,3.78
2015,West Bengal,District_82,Western Plateau,Cotton,Zaid,17440,763.88,69.2,Red,250.45,64425,3.69
2004,Andhra Pradesh,District_84,Trans-Gangetic Plains,Cotton,Rabi,124025,1864.1,48.37,Sandy,213.15,314843,2.54
2003,Rajasthan,District_40,Trans-Gangetic Plains,Cotton,Kharif,103613,436.8,62.56,Black,272.94,243500,2.35
2020,West Bengal,District_47,Upper Gangetic Plains,Cotton,Rabi,14383,1586.62,26.25,Sandy,156.09,24702,1.72
2007,Andhra Pradesh,District_50,Northern Hill Zone,Wheat,Rabi,70866,719.95,64.78,Alluvial,61.39,239423,3.38
2018,Uttar Pradesh,District_23,Trans-Gangetic Plains,Maize,Rabi,21601,1503.68,98.17,Sandy,82.6,34453,1.59
2013,Rajasthan,District_51,Western Plateau,Sugarcane,Rabi,66564,535.84,65.19,Clay,217.87,298214,4.48
2006,West Bengal,District_38,Western Dry Region,Maize,Rabi,148240,381.86,89.59,Laterite,217.97,429948,2.9
2013,Andhra Pradesh,District_9,Lower Gangetic Plains,Rice,Rabi,60171,1456.83,89.55,Black,102.9,92377,1.54
2005,Uttar Pradesh,District_61,Lower Gangetic Plains,Wheat,Kharif,114207,941.66,96.43,Alluvial,76,354196,3.1
2011,West Bengal,District_80,Cauvery Delta Zone,Maize,Rabi,45296,1981.96,25.49,Laterite,235.89,122371,2.7
2015,West Bengal,District_21,Central Plateau and Hills,Wheat,Kharif,23544,1254.43,71.32,Sandy,203.01,64180,2.73
2016,Uttar Pradesh,District_9,Eastern Plateau and Hills,Cotton,Zaid,83699,392.59,93.44,Laterite,189.13,218478,2.61
2012,Uttar Pradesh,District_25,Upper Gangetic Plains,Rice,Zaid,97550,539.99,83.2,Alluvial,180.83,186855,1.92
2013,West Bengal,District_36,Western Dry Region,Maize,Kharif,125751,1827.88,55.82,Black,160.09,394454,3.14
2006,Bihar,District_43,East Coast Plains & Hills,Sugarcane,Kharif,87710,420.25,41.56,Black,175.02,313034,3.57
2013,Gujarat,District_78,Trans-Gangetic Plains,Cotton,Zaid,65291,1216.49,47.68,Clay,186.82,149819,2.29
2014,Bihar,District_81,Western Dry Region,Cotton,Rabi,24825,329.55,29.8,Red,52.37,43456,1.75
2011,Punjab,District_28,Trans-Gangetic Plains,Rice,Rabi,78019,1520.63,36.81,Clay,94.52,224819,2.88
2016,Tamil Nadu,District_64,East Coast Plains & Hills,Cotton,Kharif,97660,538.53,77.06,Red,64,164494,1.68
2008,Gujarat,District_45,Upper Gangetic Plains,Cotton,Zaid,9320,605.85,33.89,Sandy,270.32,30588,3.28
2014,Maharashtra,District_56,Lower Gangetic Plains,Maize,Rabi,71348,780.56,86.6,Black,235.79,150811,2.11
2011,Rajasthan,District_48,Northern Hill Zone,Cotton,Kharif,114623,305.07,40.34,Laterite,268.86,181249,1.58
2001,Tamil Nadu,District_8,Cauvery Delta Zone,Rice,Zaid,47477,1191.32,52.6,Sandy,245.87,184462,3.89
2004,Bihar,District_14,Central Plateau and Hills,Wheat,Zaid,80647,1950.37,43.97,Black,178.77,227129,2.82
2012,Uttar Pradesh,District_15,Eastern Plateau and Hills,Rice,Kharif,149014,1481.41,46.17,Black,228.79,400879,2.69
2019,West Bengal,District_39,Eastern Plateau and Hills,Rice,Kharif,145570,1919.33,84.91,Clay,241.44,449973,3.09
2007,Bihar,District_25,East Coast Plains & Hills,Wheat,Zaid,97598,521.72,77.76,Laterite,141.84,208274,2.13
2013,Maharashtra,District_63,Central Plateau and Hills,Maize,Rabi,137324,709.77,50.95,Red,219.21,263344,1.92
2014,Punjab,District_59,Cauvery Delta Zone,Sugarcane,Zaid,5441,890.77,48.77,Alluvial,154.95,17226,3.17
2010,Maharashtra,District_75,Cauvery Delta Zone,Sugarcane,Rabi,128804,1562.34,73.69,Laterite,242.33,452949,3.52
2000,Maharashtra,District_29,Western Dry Region,Rice,Zaid,37165,1993.13,75.25,Clay,128.57,131874,3.55
2020,Bihar,District_3,Cauvery Delta Zone,Maize,Rabi,86213,1755.91,23.69,Alluvial,216.22,189100,2.19
2002,Uttar Pradesh,District_39,Upper Gangetic Plains,Maize,Zaid,118574,1296.35,37.26,Clay,174.72,195024,1.64
2016,Gujarat,District_22,Western Plateau,Maize,Kharif,119943,1294.08,66.58,Alluvial,157.11,329344,2.75
2018,Tamil Nadu,District_41,Northern Hill Zone,Maize,Zaid,139884,1609.47,67.04,Laterite,228.72,422389,3.02
2013,Uttar Pradesh,District_20,Central Plateau and Hills,Rice,Kharif,71131,620.43,35.49,Black,140.3,310402,4.36
2007,Karnataka,District_19,Trans-Gangetic Plains,Cotton,Rabi,55066,1698.78,25.28,Black,104.75,88053,1.6
2012,Bihar,District_13,Cauvery Delta Zone,Sugarcane,Rabi,44363,1555.47,98.38,Laterite,295.13,96420,2.17
2019,Rajasthan,District_91,Northern Hill Zone,Sugarcane,Zaid,121796,416.18,30.14,Red,86.96,455415,3.74
2002,Maharashtra,District_19,Northern Hill Zone,Wheat,Kharif,44554,370.67,89.77,Red,164.48,169175,3.8
2004,Rajasthan,District_80,Eastern Plateau and Hills,Rice,Kharif,130010,562.51,47.98,Red,126.02,436322,3.36
2008,Tamil Nadu,District_66,Western Plateau,Sugarcane,Rabi,42446,1410.73,88.21,Clay,147.17,77336,1.82
2005,Maharashtra,District_65,Western Plateau,Rice,Zaid,38263,1921.65,70.04,Black,224.23,126952,3.32
2001,Punjab,District_3,Upper Gangetic Plains,Rice,Kharif,32133,489.73,23.96,Red,278.43,109754,3.42
2012,Punjab,District_24,East Coast Plains & Hills,Maize,Kharif,62006,1335.13,92.93,Sandy,241.64,196042,3.16
2004,Tamil Nadu,District_38,Trans-Gangetic Plains,Wheat,Zaid,131308,1311.12,81.64,Black,150.97,466125,3.55
2007,Maharashtra,District_2,Western Dry Region,Rice,Kharif,73843,589,57.13,Sandy,138.11,270123,3.66
2000,Andhra Pradesh,District_56,East Coast Plains & Hills,Sugarcane,Rabi,56133,747.31,67.56,Sandy,172.29,228700,4.07
2019,Karnataka,District_80,Cauvery Delta Zone,Sugarcane,Rabi,86636,1216.76,46.28,Black,208.04,253743,2.93
2011,Andhra Pradesh,District_93,East Coast Plains & Hills,Wheat,Zaid,12976,870.67,31.66,Red,201.71,54333,4.19
2010,Gujarat,District_37,Upper Gangetic Plains,Rice,Kharif,139342,568.89,24.61,Alluvial,137.93,429589,3.08
2006,Gujarat,District_4,Cauvery Delta Zone,Maize,Rabi,78928,1030.4,63.26,Black,155.57,235606,2.99
2014,West Bengal,District_78,Upper Gangetic Plains,Wheat,Kharif,54597,452.47,34.37,Alluvial,264.53,104376,1.91
2010,Gujarat,District_81,East Coast Plains & Hills,Rice,Rabi,85824,1286.56,48.38,Clay,173.27,152397,1.78
2015,Uttar Pradesh,District_44,Upper Gangetic Plains,Wheat,Rabi,68125,545.44,44.18,Sandy,56.02,212106,3.11
2002,West Bengal,District_45,East Coast Plains & Hills,Maize,Rabi,119852,1539.03,50,Laterite,152.05,191738,1.6
2019,Punjab,District_81,Eastern Plateau and Hills,Cotton,Kharif,117925,1230.06,33.61,Black,149.42,443967,3.76
2013,Uttar Pradesh,District_84,Lower Gangetic Plains,Cotton,Rabi,132776,433.73,82.66,Alluvial,219.35,464924,3.5
2002,Maharashtra,District_47,East Coast Plains & Hills,Cotton,Zaid,90360,678.74,78.72,Laterite,210.16,363199,4.02
2000,Tamil Nadu,District_93,Cauvery Delta Zone,Maize,Zaid,6453,1029.65,85.5,Red,235.12,25359,3.93
2020,Tamil Nadu,District_26,Central Plateau and Hills,Maize,Kharif,13167,970.61,58.98,Red,293.62,22878,1.74
2014,Karnataka,District_81,Upper Gangetic Plains,Wheat,Rabi,55448,1703.51,76.3,Black,207.24,116935,2.11
2000,Punjab,District_76,Northern Hill Zone,Sugarcane,Zaid,41599,1367.18,30.76,Sandy,92.57,72860,1.75
2016,Karnataka,District_92,Lower Gangetic Plains,Maize,Zaid,118738,1807.47,67.21,Alluvial,259.89,207688,1.75
2001,Andhra Pradesh,District_9,Lower Gangetic Plains,Maize,Rabi,9571,1237.26,94.73,Clay,257.42,42814,4.47
2019,Bihar,District_96,Trans-Gangetic Plains,Cotton,Kharif,77541,834.9,44.54,Black,194.84,270976,3.49
2005,Punjab,District_98,Trans-Gangetic Plains,Cotton,Kharif,96350,354.05,69.03,Black,240.76,145949,1.51
2007,Rajasthan,District_80,Trans-Gangetic Plains,Cotton,Kharif,83725,659.02,37.65,Red,63.42,201128,2.4
2015,Gujarat,District_48,Lower Gangetic Plains,Sugarcane,Kharif,18584,737.48,43.89,Black,297.35,41021,2.21
2018,West Bengal,District_31,Cauvery Delta Zone,Cotton,Rabi,30164,454.88,96.26,Black,198.36,91775,3.04
2000,Andhra Pradesh,District_55,Central Plateau and Hills,Cotton,Kharif,66202,1201.07,27.14,Alluvial,298.77,143304,2.16
2002,Gujarat,District_91,East Coast Plains & Hills,Sugarcane,Rabi,17222,1384.34,81.67,Alluvial,287.54,44326,2.57
2002,West Bengal,District_93,Northern Hill Zone,Cotton,Rabi,68249,385.72,89.98,Clay,67.83,186746,2.74
2004,Tamil Nadu,District_1,East Coast Plains & Hills,Wheat,Rabi,8488,886.86,67.89,Alluvial,142.23,27711,3.26
2011,Uttar Pradesh,District_91,Northern Hill Zone,Wheat,Kharif,32393,346.6,21.35,Alluvial,245.52,68392,2.11
